================================List of subscription================================
Subscription ID,Subscription Type,Duration,Start Date,End Date
39667,One_Off,1 Day,08/19/1970,08/19/1970
35757,One_Off,1 Day,11/08/1972,11/08/1972
35756,Yearly,21 Year,05/02/1988,05/02/2009
39666,One_Off,1 Day,06/28/1988,06/28/1988
39669,Yearly,15 Year,10/12/1986,10/12/2001
35755,Yearly,13 Year,01/16/1989,01/16/2002
35754,Yearly,22 Year,12/10/1984,12/10/2006
39668,Daily,8 Day,10/21/1966,10/29/1966
35753,Yearly,4 Year,09/20/1967,09/20/1971
35751,Monthly,88 Month,06/22/1981,10/22/1988
35750,Daily,39 Day,02/06/1973,03/17/1973
39671,Yearly,26 Year,09/26/1975,09/26/2001
22593,Monthly,77 Month,08/22/1968,01/22/1975
22590,Monthly,44 Month,06/13/1985,02/13/1989
22591,Monthly,81 Month,01/22/1979,10/22/1985
39676,Yearly,29 Year,03/21/1977,03/21/2006
39674,Yearly,7 Year,07/28/1974,07/28/1981
35748,One_Off,1 Day,11/07/1978,11/07/1978
35749,One_Off,1 Day,07/01/1972,07/01/1972
39678,Yearly,3 Year,07/15/1987,07/15/1990
35746,Yearly,20 Year,07/28/1983,07/28/2003
22599,Daily,25 Day,11/17/1968,12/12/1968
35745,Yearly,7 Year,05/26/1971,05/26/1978
22597,Monthly,74 Month,08/22/1990,10/22/1996
39640,Monthly,6 Month,06/27/1983,12/27/1983
39642,Monthly,22 Month,02/07/1986,12/07/1987
39643,Daily,10 Day,09/27/1974,10/07/1974
22581,Daily,26 Day,03/07/1971,04/02/1971
22582,One_Off,1 Day,02/08/1977,02/08/1977
35739,Monthly,72 Month,09/20/1978,09/20/1984
35738,Yearly,20 Year,04/06/1989,04/06/2009
35736,Daily,9 Day,10/02/1978,10/11/1978
22584,Monthly,82 Month,10/26/1983,08/26/1990
35730,Yearly,22 Year,01/15/1974,01/15/1996
22586,One_Off,1 Day,08/28/1983,08/28/1983
22588,Daily,8 Day,11/02/1980,11/10/1980
39644,Yearly,47 Year,10/23/1967,10/23/2014
39646,Monthly,35 Month,11/14/1982,10/14/1985
35732,Daily,44 Day,06/10/1978,07/24/1978
39654,Daily,18 Day,01/23/1978,02/10/1978
39652,Yearly,5 Year,03/23/1987,03/23/1992
22570,Daily,35 Day,09/26/1985,10/31/1985
22571,Daily,52 Day,07/27/1987,09/17/1987
35726,Yearly,39 Year,09/28/1973,09/28/2012
35728,Daily,54 Day,10/11/1979,12/04/1979
22574,Monthly,74 Month,01/01/1982,03/01/1988
22573,Daily,37 Day,12/03/1987,01/09/1988
22579,Monthly,84 Month,01/20/1967,01/20/1974
39658,Yearly,31 Year,12/19/1966,12/19/1997
35721,One_Off,1 Day,02/18/1988,02/18/1988
22578,Monthly,23 Month,03/05/1975,02/05/1977
35724,Yearly,29 Year,01/10/1976,01/10/2005
22576,Yearly,5 Year,03/24/1984,03/24/1989
35723,One_Off,1 Day,01/12/1979,01/12/1979
35791,One_Off,1 Day,10/23/1981,10/23/1981
35790,Monthly,74 Month,02/18/1987,04/18/1993
35798,Yearly,41 Year,06/06/1970,06/06/2011
35799,Monthly,57 Month,07/15/1977,04/15/1982
35796,One_Off,1 Day,01/17/1980,01/17/1980
22561,Monthly,84 Month,07/02/1973,07/02/1980
22562,Monthly,88 Month,01/07/1973,05/07/1980
35794,One_Off,1 Day,11/21/1970,11/21/1970
22564,Monthly,18 Month,09/04/1968,03/04/1970
22569,Yearly,16 Year,10/16/1983,10/16/1999
35780,One_Off,1 Day,07/13/1967,07/13/1967
35781,Monthly,64 Month,09/07/1983,01/07/1989
24692,Yearly,19 Year,10/03/1990,10/03/2009
24691,Yearly,5 Year,04/21/1989,04/21/1994
24694,Monthly,68 Month,01/25/1974,09/25/1979
24696,Yearly,25 Year,01/22/1984,01/22/2009
22557,One_Off,1 Day,07/09/1978,07/09/1978
35788,Monthly,24 Month,04/02/1973,04/02/1975
35789,Yearly,14 Year,09/26/1968,09/26/1982
22555,Daily,34 Day,07/25/1975,08/28/1975
24698,Yearly,22 Year,12/20/1988,12/20/2010
24699,Monthly,24 Month,08/19/1969,08/19/1971
22552,Daily,3 Day,09/05/1988,09/08/1988
22550,Daily,38 Day,04/08/1988,05/16/1988
35785,Monthly,6 Month,01/23/1966,07/23/1966
35786,Monthly,90 Month,02/04/1978,08/04/1985
22558,Daily,54 Day,09/02/1987,10/26/1987
22559,Yearly,28 Year,12/13/1975,12/13/2003
39684,Daily,21 Day,06/12/1970,07/03/1970
24680,Yearly,39 Year,04/14/1969,04/14/2008
39681,One_Off,1 Day,08/20/1986,08/20/1986
35771,Monthly,66 Month,01/08/1986,07/08/1991
39680,Daily,54 Day,12/14/1970,02/06/1971
39683,Monthly,18 Month,09/23/1985,03/23/1987
39682,Monthly,55 Month,08/19/1974,03/19/1979
35774,Yearly,5 Year,10/05/1980,10/05/1985
35775,Daily,12 Day,10/01/1970,10/13/1970
24688,Monthly,54 Month,11/07/1973,05/07/1978
35772,Monthly,59 Month,06/15/1983,05/15/1988
22542,Monthly,63 Month,11/26/1987,02/26/1993
35779,Yearly,12 Year,06/09/1978,06/09/1990
22544,Monthly,84 Month,07/11/1979,07/11/1986
35776,Yearly,30 Year,07/13/1976,07/13/2006
22545,Daily,29 Day,01/15/1973,02/13/1973
24685,Monthly,35 Month,06/06/1987,05/06/1990
22548,One_Off,1 Day,12/07/1987,12/07/1987
22549,Yearly,28 Year,08/26/1971,08/26/1999
24672,One_Off,1 Day,03/11/1975,03/11/1975
24671,Monthly,86 Month,04/05/1978,06/05/1985
39695,Monthly,66 Month,04/08/1980,10/08/1985
35760,Daily,21 Day,05/18/1976,06/08/1976
39692,Daily,16 Day,06/13/1987,06/29/1987
22531,Yearly,16 Year,09/11/1989,09/11/2005
35763,Daily,50 Day,06/09/1970,07/29/1970
35765,Yearly,38 Year,06/26/1976,06/26/2014
35766,Yearly,21 Year,12/20/1975,12/20/1996
24674,Monthly,8 Month,12/10/1975,08/10/1976
22535,Yearly,15 Year,08/14/1982,08/14/1997
24676,Yearly,8 Year,02/28/1967,02/28/1975
22533,Monthly,49 Month,06/06/1984,07/06/1988
31423,Monthly,41 Month,05/24/1988,10/24/1991
31422,Yearly,38 Year,06/12/1973,06/12/2011
31429,Monthly,40 Month,09/02/1968,01/02/1972
31428,Monthly,38 Month,03/02/1989,05/02/1992
37499,Daily,47 Day,09/23/1983,11/09/1983
31427,Yearly,21 Year,09/13/1989,09/13/2010
24773,Daily,25 Day,10/18/1974,11/12/1974
31425,Yearly,33 Year,06/01/1971,06/01/2004
24772,One_Off,1 Day,08/22/1979,08/22/1979
37493,One_Off,1 Day,01/17/1989,01/17/1989
37494,Monthly,79 Month,07/20/1990,02/20/1997
24771,Yearly,12 Year,10/09/1983,10/09/1995
37491,Yearly,7 Year,04/16/1986,04/16/1993
37495,Monthly,55 Month,05/19/1979,12/19/1983
37490,Daily,5 Day,03/02/1990,03/07/1990
31431,Monthly,28 Month,03/20/1990,07/20/1992
24788,Yearly,24 Year,06/16/1986,06/16/2010
37488,Daily,30 Day,02/22/1967,03/24/1967
24789,Monthly,11 Month,10/20/1980,09/20/1981
31436,Yearly,12 Year,11/11/1981,11/11/1993
31437,Monthly,37 Month,04/27/1989,05/27/1992
24785,Yearly,19 Year,06/12/1986,06/12/2005
37480,Monthly,3 Month,10/14/1987,01/14/1988
24780,Daily,52 Day,05/20/1972,07/11/1972
37483,Yearly,40 Year,11/01/1973,11/01/2013
37484,Daily,35 Day,01/03/1970,02/07/1970
37487,Yearly,18 Year,07/14/1972,07/14/1990
24759,One_Off,1 Day,04/26/1979,04/26/1979
24758,One_Off,1 Day,03/16/1973,03/16/1973
31405,Monthly,64 Month,04/06/1979,08/06/1984
35689,Daily,20 Day,10/20/1976,11/09/1976
24751,Yearly,14 Year,03/25/1973,03/25/1987
24757,Daily,54 Day,02/23/1975,04/18/1975
35686,Monthly,61 Month,02/24/1973,03/24/1978
31408,Yearly,39 Year,02/11/1966,02/11/2005
24756,Yearly,3 Year,03/25/1984,03/25/1987
31407,Monthly,47 Month,06/07/1973,05/07/1977
24755,One_Off,1 Day,06/07/1972,06/07/1972
35685,Monthly,90 Month,01/10/1970,07/10/1977
37478,Monthly,59 Month,05/01/1985,04/01/1990
35684,Yearly,22 Year,06/24/1968,06/24/1990
37477,Yearly,7 Year,08/24/1986,08/24/1993
37476,Monthly,55 Month,01/03/1973,08/03/1977
35683,Monthly,44 Month,07/05/1972,03/05/1976
37473,Monthly,73 Month,02/08/1966,03/08/1972
35680,One_Off,1 Day,03/07/1981,03/07/1981
37471,Yearly,10 Year,09/21/1989,09/21/1999
37472,Monthly,61 Month,10/15/1981,11/15/1986
31412,Yearly,11 Year,09/24/1975,09/24/1986
31411,One_Off,1 Day,09/15/1970,09/15/1970
24762,Yearly,5 Year,07/18/1986,07/18/1991
31413,Daily,14 Day,08/26/1982,09/09/1982
24761,Monthly,47 Month,03/20/1988,02/20/1992
24764,Monthly,28 Month,02/22/1980,06/22/1982
35696,Monthly,42 Month,02/04/1976,08/04/1979
31418,Monthly,74 Month,12/15/1983,02/15/1990
35695,Monthly,45 Month,03/08/1989,12/08/1992
24765,Yearly,6 Year,05/03/1988,05/03/1994
24768,One_Off,1 Day,09/21/1972,09/21/1972
35698,Monthly,16 Month,05/17/1977,09/17/1978
24767,Yearly,40 Year,10/17/1972,10/17/2012
37468,Monthly,61 Month,02/18/1983,03/18/1988
35697,Monthly,12 Month,03/21/1986,03/21/1987
31419,Monthly,19 Month,07/04/1986,02/04/1988
35691,One_Off,1 Day,08/15/1988,08/15/1988
37462,Daily,10 Day,06/18/1975,06/28/1975
37463,Yearly,26 Year,08/21/1979,08/21/2005
37460,Daily,27 Day,03/11/1979,04/07/1979
24734,One_Off,1 Day,03/22/1969,03/22/1969
24732,Yearly,11 Year,10/20/1983,10/20/1994
24733,Monthly,42 Month,05/20/1982,11/20/1985
31468,Daily,46 Day,11/17/1987,01/02/1988
31469,Yearly,44 Year,04/01/1970,04/01/2014
31466,One_Off,1 Day,12/12/1967,12/12/1967
31462,Monthly,83 Month,05/28/1977,04/28/1984
24739,One_Off,1 Day,11/28/1968,11/28/1968
31463,Monthly,24 Month,08/17/1977,08/17/1979
31461,One_Off,1 Day,08/19/1989,08/19/1989
24744,Monthly,39 Month,10/16/1976,01/16/1980
31479,One_Off,1 Day,11/09/1977,11/09/1977
31475,Monthly,88 Month,09/25/1982,01/25/1990
31476,Daily,39 Day,04/15/1967,05/24/1967
31478,One_Off,1 Day,03/12/1989,03/12/1989
24747,Monthly,5 Month,02/27/1970,07/27/1970
31472,Daily,34 Day,05/27/1971,06/30/1971
31473,Yearly,19 Year,03/08/1981,03/08/2000
31474,Monthly,30 Month,11/26/1989,05/26/1992
22499,Daily,15 Day,06/14/1985,06/29/1985
31449,Monthly,37 Month,12/25/1985,01/25/1989
31446,One_Off,1 Day,02/04/1967,02/04/1967
31447,Monthly,52 Month,03/11/1980,07/11/1984
22495,Monthly,13 Month,03/02/1980,04/02/1981
22496,One_Off,1 Day,09/03/1969,09/03/1969
24710,Daily,46 Day,01/01/1984,02/16/1984
22498,Daily,35 Day,09/12/1967,10/17/1967
24711,One_Off,1 Day,11/16/1969,11/16/1969
31440,Daily,12 Day,03/07/1975,03/19/1975
24716,Monthly,6 Month,11/27/1985,05/27/1986
24717,Monthly,48 Month,04/03/1976,04/03/1980
24714,One_Off,1 Day,09/25/1984,09/25/1984
31445,Daily,54 Day,05/08/1966,07/01/1966
24718,Yearly,19 Year,05/26/1982,05/26/2001
24719,Monthly,28 Month,11/03/1971,03/03/1974
31443,Monthly,51 Month,11/25/1979,02/25/1984
22492,Monthly,84 Month,12/20/1971,12/20/1978
22491,Monthly,34 Month,11/01/1971,09/01/1974
22494,Monthly,36 Month,01/25/1971,01/25/1974
31457,Monthly,86 Month,05/11/1981,07/11/1988
31458,Daily,49 Day,11/20/1977,01/08/1978
24720,One_Off,1 Day,08/23/1989,08/23/1989
24722,Yearly,10 Year,03/11/1974,03/11/1984
24723,Monthly,53 Month,11/26/1966,04/26/1971
24724,One_Off,1 Day,07/10/1974,07/10/1974
24725,Yearly,21 Year,03/19/1976,03/19/1997
31450,One_Off,1 Day,04/20/1983,04/20/1983
24729,Monthly,63 Month,07/26/1977,10/26/1982
31453,Monthly,30 Month,03/06/1980,09/06/1982
37410,One_Off,1 Day,07/18/1979,07/18/1979
45132,Daily,32 Day,04/05/1988,05/07/1988
10917,Monthly,77 Month,09/11/1977,02/11/1984
37419,Monthly,68 Month,03/08/1968,11/08/1973
10925,Daily,43 Day,11/10/1982,12/23/1982
10927,Monthly,79 Month,07/25/1985,02/25/1992
10920,Yearly,11 Year,04/10/1976,04/10/1987
10922,Yearly,36 Year,02/17/1970,02/17/2006
10923,Monthly,35 Month,08/09/1977,07/09/1980
37412,One_Off,1 Day,02/14/1971,02/14/1971
37414,Yearly,35 Year,01/09/1977,01/09/2012
37413,Monthly,47 Month,01/27/1978,12/27/1981
37416,Monthly,46 Month,10/18/1973,08/18/1977
37418,Yearly,21 Year,07/25/1989,07/25/2010
45121,Yearly,36 Year,04/22/1976,04/22/2012
10909,Yearly,16 Year,10/06/1974,10/06/1990
10908,Yearly,4 Year,12/01/1967,12/01/1971
10907,Daily,35 Day,08/19/1982,09/23/1982
10915,Daily,51 Day,07/23/1990,09/12/1990
45129,One_Off,1 Day,08/09/1970,08/09/1970
45126,Monthly,78 Month,08/16/1972,02/16/1979
10913,Monthly,75 Month,09/19/1983,12/19/1989
24707,Monthly,77 Month,04/23/1970,09/23/1976
10911,One_Off,1 Day,08/09/1973,08/09/1973
10912,Monthly,79 Month,06/19/1968,01/19/1975
45125,Monthly,81 Month,12/21/1977,09/21/1984
24704,Daily,24 Day,08/24/1987,09/17/1987
24703,Daily,44 Day,07/15/1969,08/28/1969
45123,Yearly,26 Year,10/12/1986,10/12/2012
10910,One_Off,1 Day,01/27/1987,01/27/1987
24702,Monthly,83 Month,06/07/1969,05/07/1976
37403,One_Off,1 Day,07/28/1984,07/28/1984
37402,Monthly,16 Month,10/15/1971,02/15/1973
37401,Monthly,11 Month,11/23/1973,10/23/1974
24700,Yearly,33 Year,02/18/1973,02/18/2006
37400,Monthly,36 Month,09/08/1968,09/08/1971
37405,One_Off,1 Day,06/03/1966,06/03/1966
10939,Daily,50 Day,01/28/1986,03/19/1986
45150,Yearly,41 Year,03/06/1973,03/06/2014
45152,Yearly,10 Year,10/13/1975,10/13/1985
45151,Monthly,15 Month,06/21/1985,09/21/1986
31483,Monthly,31 Month,07/13/1975,02/13/1978
45156,Yearly,11 Year,04/26/1975,04/26/1986
10943,Monthly,27 Month,05/20/1974,08/20/1976
31482,Monthly,6 Month,12/28/1973,06/28/1974
45158,Daily,33 Day,10/07/1971,11/09/1971
45159,Yearly,27 Year,04/04/1978,04/04/2005
31487,Daily,26 Day,08/08/1983,09/03/1983
31489,Monthly,11 Month,12/28/1969,11/28/1970
10949,Monthly,66 Month,09/22/1976,03/22/1982
10940,One_Off,1 Day,09/18/1990,09/18/1990
10929,Yearly,32 Year,04/02/1978,04/02/2010
31491,One_Off,1 Day,03/21/1985,03/21/1985
31492,Yearly,38 Year,08/07/1967,08/07/2005
45147,Yearly,17 Year,10/01/1990,10/01/2007
10931,Yearly,19 Year,10/09/1985,10/09/2004
31494,Monthly,33 Month,03/26/1969,12/26/1971
45145,Monthly,89 Month,04/27/1972,09/27/1979
31493,Monthly,68 Month,04/09/1989,12/09/1994
10938,Yearly,29 Year,02/08/1966,02/08/1995
10935,Daily,16 Day,02/11/1985,02/27/1985
45148,One_Off,1 Day,12/17/1990,12/17/1990
31497,Monthly,16 Month,02/09/1968,06/09/1969
10936,Daily,13 Day,11/22/1973,12/05/1973
45174,Daily,46 Day,02/01/1967,03/19/1967
45175,One_Off,1 Day,02/23/1978,02/23/1978
37450,Yearly,27 Year,05/02/1974,05/02/2001
37454,Monthly,24 Month,04/27/1967,04/27/1969
37453,Monthly,76 Month,10/23/1967,02/23/1974
37456,Monthly,8 Month,06/15/1982,02/15/1983
37458,Yearly,19 Year,02/22/1977,02/22/1996
37459,Yearly,19 Year,06/15/1977,06/15/1996
45178,Daily,41 Day,02/10/1968,03/22/1968
45177,Monthly,21 Month,05/26/1981,02/26/1983
45179,Monthly,20 Month,09/24/1988,05/24/1990
45165,Daily,46 Day,01/25/1967,03/12/1967
45162,One_Off,1 Day,02/20/1988,02/20/1988
45160,Monthly,86 Month,01/12/1977,03/12/1984
37443,Monthly,62 Month,01/18/1969,03/18/1974
37441,Monthly,28 Month,10/13/1988,02/13/1991
37444,Daily,9 Day,10/05/1978,10/14/1978
37445,Daily,18 Day,10/10/1979,10/28/1979
37448,Daily,6 Day,01/25/1984,01/31/1984
45169,Monthly,35 Month,03/28/1979,02/28/1982
45168,Daily,11 Day,12/13/1983,12/24/1983
45167,Monthly,22 Month,01/20/1990,11/20/1991
45193,Yearly,21 Year,10/20/1973,10/20/1994
45196,One_Off,1 Day,03/19/1981,03/19/1981
37433,Monthly,75 Month,11/24/1972,02/24/1979
37435,Yearly,30 Year,07/01/1977,07/01/2007
10900,Monthly,64 Month,08/18/1971,12/18/1976
10903,Daily,29 Day,02/14/1984,03/14/1984
10902,Monthly,65 Month,06/14/1977,11/14/1982
10905,Monthly,19 Month,02/28/1976,09/28/1977
10904,One_Off,1 Day,08/28/1981,08/28/1981
45182,One_Off,1 Day,07/27/1984,07/27/1984
45181,One_Off,1 Day,04/21/1976,04/21/1976
45186,Daily,44 Day,02/09/1971,03/25/1971
45187,Daily,10 Day,08/12/1969,08/22/1969
45185,Monthly,8 Month,05/02/1980,01/02/1981
37420,Monthly,77 Month,06/03/1983,11/03/1989
37428,Daily,19 Day,04/08/1980,04/27/1980
37426,Monthly,37 Month,10/22/1980,11/22/1983
37422,Monthly,6 Month,01/04/1982,07/04/1982
37423,One_Off,1 Day,09/21/1984,09/21/1984
45188,Monthly,14 Month,03/11/1981,05/11/1982
10897,One_Off,1 Day,10/25/1976,10/25/1976
10891,Daily,49 Day,01/06/1976,02/24/1976
10893,Daily,21 Day,02/18/1971,03/11/1971
39701,Yearly,4 Year,09/16/1982,09/16/1986
10870,Yearly,5 Year,05/08/1971,05/08/1976
10871,Yearly,18 Year,12/24/1989,12/24/2007
22400,Yearly,9 Year,09/13/1990,09/13/1999
10872,Yearly,3 Year,09/03/1968,09/03/1971
10873,Daily,28 Day,12/03/1966,12/31/1966
10874,One_Off,1 Day,12/27/1967,12/27/1967
39703,Daily,9 Day,05/22/1981,05/31/1981
10876,Monthly,55 Month,07/11/1968,02/11/1973
39709,Yearly,22 Year,07/23/1980,07/23/2002
39708,Daily,9 Day,01/14/1985,01/23/1985
22408,Monthly,45 Month,08/15/1971,05/15/1975
22407,Yearly,24 Year,11/17/1966,11/17/1990
22404,Yearly,25 Year,05/26/1988,05/26/2013
39711,One_Off,1 Day,02/08/1984,02/08/1984
10882,Monthly,12 Month,04/24/1971,04/24/1972
39713,Yearly,18 Year,07/22/1987,07/22/2005
39715,One_Off,1 Day,11/06/1982,11/06/1982
10885,One_Off,1 Day,01/07/1972,01/07/1972
10886,Yearly,12 Year,12/15/1976,12/15/1988
39717,Yearly,8 Year,12/05/1975,12/05/1983
39719,Yearly,21 Year,09/01/1973,09/01/1994
39718,One_Off,1 Day,11/17/1983,11/17/1983
10888,Monthly,58 Month,07/12/1988,05/12/1993
35813,Yearly,32 Year,03/06/1970,03/06/2002
45105,Daily,27 Day,08/24/1971,09/20/1971
45104,Yearly,11 Year,10/11/1978,10/11/1989
45107,Yearly,22 Year,12/08/1987,12/08/2009
35815,Monthly,60 Month,08/05/1976,08/05/1981
45101,Yearly,22 Year,02/27/1985,02/27/2007
35817,Yearly,33 Year,12/02/1977,12/02/2010
10854,Monthly,57 Month,11/13/1987,08/13/1992
45100,Monthly,54 Month,02/28/1987,08/28/1991
35818,Daily,48 Day,07/24/1985,09/10/1985
35819,Yearly,24 Year,05/18/1982,05/18/2006
39729,One_Off,1 Day,10/25/1971,10/25/1971
10851,Yearly,27 Year,09/21/1974,09/21/2001
39728,Yearly,9 Year,01/24/1977,01/24/1986
10853,Monthly,12 Month,08/09/1977,08/09/1978
39726,Monthly,60 Month,01/06/1987,01/06/1992
39723,Monthly,85 Month,11/26/1973,12/26/1980
35811,Yearly,29 Year,02/22/1984,02/22/2013
39722,Yearly,30 Year,05/25/1982,05/25/2012
35812,Monthly,87 Month,03/16/1982,06/16/1989
45115,Yearly,3 Year,12/16/1978,12/16/1981
10869,Monthly,49 Month,11/27/1971,12/27/1975
45114,Yearly,28 Year,04/03/1980,04/03/2008
45113,One_Off,1 Day,11/03/1982,11/03/1982
35806,Daily,10 Day,10/14/1983,10/24/1983
10866,Daily,33 Day,06/02/1983,07/05/1983
35807,Monthly,47 Month,03/02/1972,02/02/1976
39736,Daily,19 Day,10/02/1970,10/21/1970
10861,One_Off,1 Day,12/19/1986,12/19/1986
39739,Daily,32 Day,02/08/1983,03/12/1983
10860,Daily,50 Day,07/24/1980,09/12/1980
35800,Monthly,35 Month,05/17/1966,04/17/1969
39731,Daily,27 Day,10/17/1987,11/13/1987
39730,Yearly,15 Year,12/15/1986,12/15/2001
10832,Daily,54 Day,07/10/1969,09/02/1969
10835,Monthly,17 Month,11/14/1983,04/14/1985
37606,Yearly,8 Year,12/09/1986,12/09/1994
10837,Monthly,55 Month,06/26/1986,01/26/1991
37608,Daily,6 Day,06/03/1984,06/09/1984
35838,One_Off,1 Day,09/28/1987,09/28/1987
37602,Daily,18 Day,05/02/1985,05/20/1985
39745,Monthly,10 Month,02/07/1982,12/07/1982
35831,Yearly,12 Year,06/09/1974,06/09/1986
39746,Monthly,80 Month,07/21/1987,03/21/1994
37603,Monthly,28 Month,10/09/1968,02/09/1971
37604,Yearly,4 Year,09/16/1967,09/16/1971
35833,Daily,31 Day,12/27/1973,01/27/1974
35834,Yearly,11 Year,12/11/1974,12/11/1985
39747,One_Off,1 Day,12/13/1972,12/13/1972
10831,Monthly,60 Month,06/01/1973,06/01/1978
39748,One_Off,1 Day,10/26/1986,10/26/1986
39741,Daily,41 Day,05/13/1990,06/23/1990
10829,Daily,39 Day,07/25/1972,09/02/1972
10846,Yearly,30 Year,06/02/1984,06/02/2014
